file,true_label,csv_row_index,format
benign_1.csv,benign,1,csv
darkkomet_2899.csv,darkkomet,2899,csv
delf_3012.csv,delf,3012,csv
dlhelper_3108.csv,dlhelper,3108,csv
domaiq_3164.csv,domaiq,3164,csv
driverpack_3253.csv,driverpack,3253,csv
emotet_3313.csv,emotet,3313,csv
gamarue_3615.csv,gamarue,3615,csv
gamehack_3791.csv,gamehack,3791,csv
gandcrab_3814.csv,gandcrab,3814,csv
hotbar_5019.csv,hotbar,5019,csv
batch_sample_30.csv,mixed (10 benign + 2 each of 10 families),n/a,csv (batch upload demo -- 30 real rows sampled from data/cleaned_data.csv)
api_call_log_benign.txt,benign,n/a,api (text)
api_call_log_malicious.txt,malicious,n/a,api (text)
api_call_log_benign.json,benign,n/a,json
api_call_log_malicious.json,malicious,n/a,json
